time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
1.0,3.0,4.7,1.7,0.7,1.7,1.3,3.0,3.0,4.0
2.0,6.0,8.7,4.3,2.0,3.3,2.7,8.0,8.0,8.0
3.0,9.0,12.0,7.3,3.3,5.3,5.0,12.7,12.3,11.0
4.0,12.0,15.7,9.7,5.0,7.0,7.0,17.7,17.0,14.0
5.0,15.0,19.7,12.7,6.3,8.7,8.7,22.3,21.7,18.0
6.0,18.0,23.7,15.3,8.0,10.3,10.3,26.3,25.7,21.0
7.0,21.0,27.7,18.3,9.7,12.3,12.7,31.3,30.3,25.0
8.0,23.0,31.0,20.7,11.0,13.7,14.0,35.3,34.7,28.0
9.0,26.0,35.0,23.3,12.3,15.7,16.0,40.0,39.0,31.0
10.0,29.0,38.7,26.7,14.3,17.3,18.0,44.7,43.7,35.0
11.0,32.0,42.3,29.0,15.7,19.0,19.7,49.3,48.3,39.0
12.0,35.0,46.3,32.0,17.0,20.7,21.3,53.7,52.7,42.0
13.0,37.0,50.0,34.3,18.7,22.3,23.7,57.7,57.0,45.0
14.0,40.0,53.3,37.0,20.0,24.0,25.0,62.7,61.3,48.0
15.0,43.0,57.3,39.7,21.7,26.0,27.3,66.7,65.7,51.0
16.0,45.0,61.0,42.7,23.3,27.7,28.7,71.3,70.0,55.0
17.0,48.0,64.7,45.0,24.7,29.0,30.7,75.7,74.0,58.0
18.0,51.0,68.3,47.7,26.0,31.0,32.7,80.0,78.7,62.0
19.0,53.0,72.0,51.0,27.7,32.3,34.3,84.0,83.0,65.0
20.0,57.0,75.7,53.3,28.7,34.0,36.0,88.7,87.3,68.0
21.0,59.0,79.3,55.7,30.7,36.3,38.3,93.3,91.7,72.0
22.0,62.0,82.7,58.7,31.7,37.7,39.7,97.3,95.7,75.0
23.0,65.0,86.7,61.0,33.7,39.0,41.7,101.7,99.7,79.0
24.0,67.0,90.0,63.7,35.0,41.0,43.7,106.0,104.0,81.0
25.0,70.0,93.7,66.7,36.7,42.7,45.0,110.3,108.7,85.0
26.0,72.0,97.7,69.3,38.0,44.0,47.0,114.7,112.7,88.0
27.0,75.0,101.0,71.7,39.3,46.0,48.7,118.7,116.7,92.0
28.0,78.0,104.0,74.3,41.0,47.7,50.7,122.7,120.7,95.0
29.0,80.0,108.3,77.0,42.3,49.3,52.0,127.0,125.3,98.0
30.0,83.0,112.0,79.3,44.3,51.0,54.3,131.7,129.3,101.0
31.0,86.0,115.3,81.7,45.7,52.3,56.0,135.7,133.3,104.0
32.0,88.0,119.0,84.3,47.0,54.0,57.7,140.0,137.3,108.0
33.0,91.0,122.3,87.0,48.7,56.0,59.3,144.0,141.3,111.0
34.0,93.0,126.0,89.7,49.7,57.7,61.3,148.0,145.7,115.0
35.0,96.0,129.3,92.0,51.3,59.0,63.0,152.3,149.7,118.0
36.0,99.0,132.7,94.7,53.0,61.0,64.7,156.3,153.7,121.0
37.0,101.0,136.7,97.3,54.3,62.3,66.7,160.7,157.7,124.0
38.0,104.0,139.7,100.0,56.0,64.3,68.3,164.7,161.7,127.0
39.0,106.0,143.3,102.0,57.3,65.7,70.0,169.0,165.7,130.0
40.0,109.0,147.0,104.3,58.7,67.3,71.7,173.0,169.7,133.0
41.0,111.0,150.7,107.7,60.3,69.3,73.7,177.0,174.0,137.0
42.0,114.0,154.0,110.0,61.7,70.7,75.3,180.7,177.3,140.0
43.0,116.0,157.0,112.0,63.0,72.3,77.0,185.3,181.7,143.0
44.0,119.0,160.7,114.3,64.7,74.0,78.7,189.0,185.3,146.0
45.0,121.0,164.0,117.3,66.0,75.3,80.7,193.0,189.3,149.0
46.0,124.0,167.7,119.7,67.7,77.0,82.3,196.7,193.0,152.0
47.0,127.0,171.0,122.0,69.0,79.0,84.0,201.0,197.3,156.0
48.0,129.0,174.0,124.3,70.7,80.7,85.7,205.0,201.0,159.0
49.0,131.0,177.7,127.0,72.0,82.0,87.3,209.0,204.3,162.0
50.0,134.0,181.0,129.7,73.7,83.7,89.0,213.0,209.0,165.0
51.0,136.0,184.3,132.0,75.0,85.3,91.0,216.7,212.0,168.0
52.0,139.0,188.0,134.3,76.7,86.7,92.3,220.3,216.3,171.0
53.0,141.0,191.3,136.7,77.7,88.7,94.3,224.7,219.7,174.0
54.0,144.0,194.7,139.0,79.3,90.3,96.0,228.3,223.7,177.0
55.0,147.0,197.7,141.3,81.0,91.7,98.0,232.0,227.3,180.0
56.0,149.0,201.3,143.7,82.0,93.7,99.7,236.3,231.0,183.0
57.0,151.0,204.7,146.0,83.7,95.0,101.0,240.0,235.3,186.0
58.0,153.0,207.7,149.0,85.0,96.7,103.0,244.0,238.7,190.0
