elapsed time (min),D11,D12,D13,D21,D22,D23,D31,D32,D33
1,3.3,4.7,1.7,0.7,1.7,1.3,3,3,4
2,6.3,8.7,4.3,2,3.3,2.7,8,8,8
3,9,12,7.3,3.3,5.3,5,12.7,12.3,11
4,11.7,15.7,9.7,5,7,7,17.7,17,14
5,14.7,19.7,12.7,6.3,8.7,8.7,22.3,21.7,18
6,17.7,23.7,15.3,8,10.3,10.3,26.3,25.7,21
7,20.7,27.7,18.3,9.7,12.3,12.7,31.3,30.3,25
8,23.3,31,20.7,11,13.7,14,35.3,34.7,28
9,26.3,35,23.3,12.3,15.7,16,40,39,31
10,29,38.7,26.7,14.3,17.3,18,44.7,43.7,35
11,32,42.3,29,15.7,19,19.7,49.3,48.3,39
12,34.7,46.3,32,17,20.7,21.3,53.7,52.7,42
13,37,50,34.3,18.7,22.3,23.7,57.7,57,45
14,40.3,53.3,37,20,24,25,62.7,61.3,48
15,43.3,57.3,39.7,21.7,26,27.3,66.7,65.7,51
16,45.3,61,42.7,23.3,27.7,28.7,71.3,70,55
17,48.3,64.7,45,24.7,29,30.7,75.7,74,58
18,51,68.3,47.7,26,31,32.7,80,78.7,62
19,53.3,72,51,27.7,32.3,34.3,84,83,65
20,56.7,75.7,53.3,28.7,34,36,88.7,87.3,68
21,59.3,79.3,55.7,30.7,36.3,38.3,93.3,91.7,72
22,61.7,82.7,58.7,31.7,37.7,39.7,97.3,95.7,75
23,64.7,86.7,61,33.7,39,41.7,101.7,99.7,79
24,67,90,63.7,35,41,43.7,106,104,81
25,69.7,93.7,66.7,36.7,42.7,45,110.3,108.7,85
26,72.3,97.7,69.3,38,44,47,114.7,112.7,88
27,75,101,71.7,39.3,46,48.7,118.7,116.7,92
28,78,104,74.3,41,47.7,50.7,122.7,120.7,95
29,80.3,108.3,77,42.3,49.3,52,127,125.3,98
30,83,112,79.3,44.3,51,54.3,131.7,129.3,101
31,85.7,115.3,81.7,45.7,52.3,56,135.7,133.3,104
32,88.3,119,84.3,47,54,57.7,140,137.3,108
33,90.7,122.3,87,48.7,56,59.3,144,141.3,111
34,93.3,126,89.7,49.7,57.7,61.3,148,145.7,115
35,96,129.3,92,51.3,59,63,152.3,149.7,118
36,98.7,132.7,94.7,53,61,64.7,156.3,153.7,121
37,101,136.7,97.3,54.3,62.3,66.7,160.7,157.7,124
38,104,139.7,100,56,64.3,68.3,164.7,161.7,127
39,106.3,143.3,102,57.3,65.7,70,169,165.7,130
40,108.7,147,104.3,58.7,67.3,71.7,173,169.7,133
41,111.3,150.7,107.7,60.3,69.3,73.7,177,174,137
42,114,154,110,61.7,70.7,75.3,180.7,177.3,140
43,116,157,112,63,72.3,77,185.3,181.7,143
44,119,160.7,114.3,64.7,74,78.7,189,185.3,146
45,121.3,164,117.3,66,75.3,80.7,193,189.3,149
46,124,167.7,119.7,67.7,77,82.3,196.7,193,152
47,126.7,171,122,69,79,84,201,197.3,156
48,128.7,174,124.3,70.7,80.7,85.7,205,201,159
49,131.3,177.7,127,72,82,87.3,209,204.3,162
50,134,181,129.7,73.7,83.7,89,213,209,165
51,136,184.3,132,75,85.3,91,216.7,212,168
52,139,188,134.3,76.7,86.7,92.3,220.3,216.3,171
53,141.3,191.3,136.7,77.7,88.7,94.3,224.7,219.7,174
54,143.7,194.7,139,79.3,90.3,96,228.3,223.7,177
55,146.7,197.7,141.3,81,91.7,98,232,227.3,180
56,148.7,201.3,143.7,82,93.7,99.7,236.3,231,183
57,151,204.7,146,83.7,95,101,240,235.3,186
58,153.3,207.7,149,85,96.7,103,244,238.7,190
59,156.3,211,151.3,86.3,98.3,104.3,247.7,242,192
60,158.3,214,153.7,87.7,100,106.3,251.7,246.3,196
61,161.3,217.7,155.7,89.3,101.3,108,255.3,249.7,199
62,163.3,221,158,91,103.3,109.7,258.7,253.3,202
63,166,224.3,160.3,92,104.7,111.7,262.7,257,205
64,168,227.3,162.7,93.7,106.3,113,266.3,260.7,208
65,170.7,230.3,165,95.3,108.3,114.3,270,264.3,211
66,173,234,167.7,96.7,109.7,116.3,274,268,214
67,175,237,170,98,111,118.7,277.3,271.7,217
68,177.7,240.3,172,99.3,113,120,281.3,275,220
69,180,243.7,174.7,101,114.3,121.7,285.3,278.7,223
70,182.7,246.7,176.7,102,115.7,123.3,288.7,282.3,226
71,184.7,249.7,179,103.7,117.3,125,292.3,286,229
72,187.3,253,181.3,105.3,119.3,126.3,295.7,289,232
73,189.7,256.3,183.7,106.7,120.7,128.3,299.7,292.7,234
74,191.7,259.7,185.7,108.3,122,129.7,303.3,296,238
75,194.3,262.7,188,109.7,124,131.7,307,299.7,241
76,196.3,265.7,190.7,111,125.3,133.3,310.7,303.3,243
77,199,269,192.7,112.7,126.7,135,314,306.7,246
78,201.3,272,195.3,113.7,129,136.7,317.3,310.3,249
79,203.3,275,197.7,115.7,130,138.3,321,313.7,252
80,205.7,278,200,116.7,131.7,139.7,324.7,317,255
81,208.7,281.3,202,118,133,141.7,328,320.3,258
82,210.7,284.3,204,120,135,143,331.3,323.7,261
83,212.7,287.3,206.3,120.7,136.3,144.7,335,327.3,264
84,215,290.3,208.7,122.3,137.7,146.3,338.7,330.7,267
85,217.3,293.7,211,123.7,139.7,148,341.7,333.7,269
86,219.3,296.3,212.7,125.3,141.3,150,345.3,337.3,272
87,222,299.7,215.7,126.3,142.7,151.7,349,340.7,275
88,224.3,302.7,217.3,128.3,144,153,352.7,344,278
89,226.3,305.7,219.7,129.7,145.7,154.7,356,347,281
90,228.3,308.7,222,130.7,147.3,156.3,359.3,350.3,284
91,231,312,224,132.3,148.7,158,362.7,353.7,286
92,233.3,314.7,226.3,133.7,150.3,159.7,366,357,290
93,235.3,317.7,228.3,135,152,161,369,360.3,292
94,237.3,321,230.7,136.3,153.7,162.7,372.3,363.3,295
95,239.7,323.7,232.7,138,155,164.3,376,366.7,298
96,242,326.3,235,139,156.7,166,379.3,370,300
97,244,329.7,237,141,158.3,167.7,382.3,373,303
98,246.3,332.3,239.3,142.3,159.7,169.3,385.7,376,306
99,248.7,335.3,241.7,143.3,161,170.7,389.3,379.3,309
100,251,338.7,243.3,145,162.7,172.7,392.3,382,312
101,253.3,341.3,245.7,146.3,164.3,174,395.7,385.7,315
102,255.3,344.7,248,147.7,166,175.7,399,388.7,317
103,257.7,347,250.3,148.7,167.3,177.3,402.3,391.7,320
104,259.3,350,252.3,150.7,169,178.7,405.7,395,323
105,261.7,352.7,254.3,151.7,170.3,180.3,408.7,397.7,325
106,264,356,256.7,153.3,171.7,182,411.7,401,328
107,266.3,359,258.3,155,173,183.7,415,404,331
108,268.3,361.3,260.3,156,174.7,185,418,406.7,333
109,270.3,364.3,262.7,157,176.7,187,421.3,410,337
110,272.3,367,264.7,159,178,188.3,424.7,413.3,340
111,274.3,370.3,267,160.3,179.3,190.3,427.7,416,342
112,276.7,372.7,268.7,161.3,180.7,191.7,431,419.3,344
113,278.7,375.7,271,163.3,182.3,193,433.7,422,347
114,281,378.3,273.3,164.3,183.7,194.7,437,425,350
115,283,381,275.3,165.7,185.7,196.3,439.7,428.3,353
116,285,383.7,277.3,167,187,198,443.3,430.7,355
117,287,387,279.3,168.7,188.3,199.3,446,434.3,358
118,289,390,281.7,169.7,190,201.3,449,436.7,361
119,291.3,392.3,283.3,171,191.7,202.7,452.3,439.7,364
120,293.3,395.3,285.7,173,193,204.3,455,442.7,366
121,295.3,398,287.7,174,194.7,206,458,445.3,369
122,297.3,400.7,289.3,175.3,196.3,207.3,461,448.3,371
123,299.7,403.3,291.3,176.7,197.7,209,464.3,451.3,374
124,302,405.7,293.3,178,199,210.7,467.3,454,377
125,303.7,408.7,295.7,179.3,200.3,212.3,470.3,457,379
126,305.7,411.3,297.7,181,202,213.7,473,459.7,381
127,307.7,414,300,182.3,203.3,215.7,476,462.3,384
128,309.7,416.7,301.7,183.7,204.7,217,478.7,465.7,387
129,311.7,419.7,303.3,184.7,206.3,218.3,481.7,468,389
130,313.3,422,305.7,186.3,208,220,484.7,470.7,392
131,315.7,425,307.3,187.7,209.7,221.3,487.3,473.7,395
132,317.7,427.3,309.7,189,211,222.7,490.3,476.3,397
133,319.7,430,312,190,212.3,224.3,493.3,479,400
134,321.7,432.7,313.7,192,213.7,226,496.3,481.7,402
135,323.7,435.3,315.3,193,215,227.7,499,484.3,405
136,325.7,438,317.7,194.3,216.7,229,502,487,407
137,327.3,440.7,319.7,195.7,218,231,505,489.7,410
138,329.3,443.3,321.3,197.3,219.7,232.3,507.3,492.3,413
139,331.3,446,323.7,198.3,221,233.7,510.3,495,415
140,333.3,448.3,325.3,199.7,222.3,235.3,513,497.3,417
141,335.3,451,327.3,201,224,237,516,500.3,420
142,337.3,453.7,329.3,202.7,225.7,238.3,519,503,423
143,339.3,456,331,204,227,239.7,521,505.7,425
144,341.3,458.7,333.3,205.3,228.3,241.3,524,508,427
145,343,461.3,335.3,206.7,230,243,526.7,510.7,430
146,345,463.7,336.7,208,231.3,244.3,529.3,513.3,432
147,347,466.3,339,209.3,232.7,246,532,516,435
148,349,468.7,341,211,234,247.7,535,518.3,437
149,350.7,471.3,343,212,235.3,249,537.3,521,439
150,352.7,474,344.7,213.3,236.7,250.7,539.7,523.7,442
151,354,476.3,346.7,214.7,238.3,252.3,542.7,526.3,445
152,356,478.7,348.3,216,240,253.3,545.3,528.7,447
153,358,481.3,350.7,217.3,241.3,255,548.3,531,449
154,360,483.7,352,218.7,242.7,256.7,550.3,533.7,452
155,362,486,354,220,244.3,258,553.3,536,454
156,364,489,356,221.3,245.7,259.7,556,538.7,457
157,366,491.3,358,222.7,247.3,261,558.7,541,459
158,368,493.3,360,224,249,262.3,561,543.3,461
159,369,496,361.3,225.3,250,264,563.7,546,464
160,371,498.3,363.7,226.7,251.3,265.3,566.3,548.3,466
161,373,500.7,365.3,228.3,252.7,267,568.7,551,469
162,375,503.3,367,229.3,254,268.7,571,553.3,471
163,377,505.3,368.7,230.7,255.3,270,573.7,555.3,473
164,379,508,370.7,232,257,271.3,576.3,558.3,476
165,380.3,510.7,373,233,258.3,272.7,579,560.7,478
166,382,512.7,374.3,234.7,259.7,274.3,581,562.7,480
167,384,515,376.3,236,261,276,583.7,565,483
168,386,517,378.3,237.3,262.3,277.3,586.3,567,485
169,388,520,379.7,238.3,264,278.7,588.7,570,487
170,389,522,381.7,240,265.7,280.3,590.7,572,490
171,391,524.3,383.7,241,267,281.7,593.7,574.3,492
172,393,526.7,385.7,242.3,268.3,283.3,596,577,494
173,394.7,529,387,243.7,269.7,284.7,598.7,579,497
174,396.7,531.3,389,245,271,286.3,600.7,581,498
175,398.3,533.7,390.7,246.3,272.3,287.3,603.3,583.7,501
176,400,536,392.7,247.7,273.3,289,605.3,585.7,503
177,401.7,538.3,394.3,249,274.7,290.3,608,588.3,506
178,403.7,540.3,396,250,276.7,292.3,610.3,590.3,508
179,405.3,543,397.7,251.7,278,293.3,612.3,592.7,510
180,407,545,399.7,252.7,279.3,294.7,614.3,594.7,512
181,408.7,547.3,401.3,254.3,280.7,296.3,617.3,596.7,515
