Effluent weight (g),Set1-F11-T5,Set1-F12-T6,Set1-F13-T7,Set2-F21-T1,Set2-F22-T2,Set2-F23-T13,Set3-F31-T18,Set3-F32-T19,Set3-F33-T20,Set?-F4-T17
1.0000,40,32,35,0,0,23,0,0,0,50
2.0000,50,50,50,42,42,48,50,50,35,122
3.0000,77,68,72,50,62,53,65,95,75,235
4.0000,113,105,108,62,80,78,130,145,120,348
5.0000,150,140,143,83,103,108,197,195,160,460
6.0000,185,175,180,103,123,135,260,245,200,570
7.0000,222,210,215,122,147,163,323,295,240,680
8.0000,257,247,252,143,168,193,387,345,280,790
9.0000,292,282,287,162,190,220,452,390,320,898
10.0000,328,318,323,183,210,247,513,440,360,1005
11.0000,363,350,357,203,235,273,573,485,400,1112
12.0000,398,385,392,223,257,302,635,535,435,1217
13.0000,435,422,427,243,277,328,698,580,475,1322
14.0000,467,455,460,262,300,355,757,735,515,1425
15.0000,502,488,495,282,320,382,818,795,555,1527
16.0000,537,522,530,302,342,408,877,845,590,1628
17.0000,570,557,562,320,362,435,937,895,630,1728
18.0000,605,588,597,338,383,460,995,940,665,1827
19.0000,638,623,628,358,405,487,1053,985,705,1927
20.0000,672,655,662,377,427,513,1113,1030,740,2025
21.0000,705,690,695,397,448,540,1170,1075,780,2123
22.0000,738,722,728,417,468,565,1227,1120,815,2218
23.0000,772,753,758,433,488,590,1285,1165,850,2313
24.0000,802,788,793,453,510,615,1340,1210,885,2408
25.0000,837,818,825,472,530,640,1397,1250,920,2502
26.0000,868,850,857,490,550,665,1452,1295,960,2595
27.0000,900,882,888,508,572,692,1505,1340,995,2687
28.0000,932,913,920,527,592,717,1560,1380,1030,2778
29.0000,963,945,952,545,610,742,1615,1425,1065,2868
30.0000,995,977,983,565,630,765,1670,1465,1100,2958
31.0000,1027,1007,1013,582,652,790,1722,1510,1135,3047
32.0000,1058,1038,1047,600,672,815,1777,1550,1170,3135
33.0000,1088,1068,1088,618,692,840,1830,1590,1205,3225
34.0000,1118,1100,1118,637,710,865,1882,1630,1235,3312
35.0000,1150,1130,1147,655,732,888,1935,1675,1270,3397
36.0000,1182,1162,1178,672,752,912,1987,1715,1305,3482
37.0000,1210,1192,1208,692,770,937,2037,1755,1340,3567
38.0000,1242,1222,1238,710,797,962,2088,1795,1370,3650
39.0000,1270,1252,1268,727,815,985,2138,1835,1405,3735
40.0000,1302,1283,1297,745,835,1008,2190,1875,1435,3817
41.0000,1332,1312,1327,763,853,1032,2240,1915,1470,3898
42.0000,1360,1342,1357,780,875,1055,2290,1955,1505,3980
43.0000,1392,1372,1387,797,895,1078,2340,1995,1535,4060
44.0000,1420,1398,1415,815,913,1102,2388,2035,1570,4138
45.0000,1448,1428,1445,832,932,1127,2438,2075,1600,4218
46.0000,1477,1460,1473,852,952,1148,2485,2110,1630,4295
47.0000,1507,1487,1502,868,970,1172,2533,2150,1665,4373
48.0000,1535,1517,1530,885,988,1195,2583,2190,1695,4450
49.0000,1563,1545,1557,902,1008,1218,2630,2225,1725,4527
50.0000,1592,1573,1587,920,1027,1242,2678,2265,1760,4602
51.0000,1620,1600,1613,935,1045,1265,2725,2305,1790,4677
52.0000,1650,1628,1643,953,1063,1287,2772,2340,1820,4752
53.0000,1678,1657,1672,972,1083,1310,2818,2375,1850,4825
54.0000,1705,1687,1698,988,1102,1333,2867,2415,1880,4898
55.0000,1733,1713,1725,1005,1120,1353,2910,2450,1915,4970
56.0000,1762,1740,1753,1022,1138,1375,2957,2490,1940,5040
57.0000,1788,1768,1780,1040,1157,1398,3000,2525,1975,5110
58.0000,1815,1795,1808,1055,1175,1422,3048,2560,2005,5180
59.0000,1843,1825,1835,1072,1193,1442,3092,2595,2030,5250
60.0000,1870,1850,1860,1090,1212,1463,3137,2635,2060,5318
61.0000,1897,1877,1890,1105,1230,1487,3182,2670,2090,5385
62.0000,1925,1907,1915,1122,1248,1507,3227,2705,2120,5452
63.0000,1952,1932,1942,1138,1267,1530,3270,2740,2150,5518
64.0000,1978,1958,1967,1155,1283,1552,3313,2775,2180,5583
65.0000,2003,1985,1992,1172,1300,1572,3355,2810,2210,5648
66.0000,2030,2012,2020,1188,1318,1593,3398,2845,2240,5712
67.0000,2057,2038,2047,1205,1337,1615,3440,2880,2270,5777
68.0000,2083,2063,2072,1220,1355,1637,3483,2915,2295,5838
69.0000,2110,2090,2098,1237,1373,1658,3525,2945,2325,5900
70.0000,2137,2115,2123,1252,1390,1678,3568,2980,2350,5962
71.0000,2160,2142,2150,1270,1408,1700,3610,3015,2380,6022
72.0000,2187,2167,2175,1285,1425,1720,3652,3050,2410,6082
73.0000,2212,2193,2200,1302,1442,1740,3692,3080,2435,6140
74.0000,2238,2220,2225,1317,1460,1762,3735,3115,2465,6200
75.0000,2263,2245,2250,1333,1477,1782,3773,3150,2495,6257
76.0000,2288,2270,2275,1350,1493,1803,3815,3180,2520,6313
77.0000,2313,2295,2300,1367,1512,1823,3857,3215,2550,6370
78.0000,2338,2317,2325,1382,1528,1843,3895,3250,2575,6425
79.0000,2363,2343,2350,1397,1545,1865,3935,3280,2600,6480
80.0000,2387,2368,2373,1412,1563,1885,3975,3315,2630,6535
81.0000,2412,2393,2397,1427,1580,1905,4015,3345,2655,6588
82.0000,2437,2418,2422,1442,1597,1923,4053,3375,2685,6642
83.0000,2462,2442,2447,1460,1615,1943,4092,3410,2710,6695
84.0000,2485,2467,2470,1475,1630,1963,4132,3440,2735,6745
85.0000,2510,2490,2495,1492,1647,1983,4168,3470,2765,6798
86.0000,2533,2515,2518,1507,1665,2005,4207,3500,2790,6847
87.0000,2558,2538,2542,1522,1682,2025,4245,3535,2815,6897
88.0000,2582,2563,2567,1538,1698,2043,4283,3565,2845,6945
89.0000,2607,2587,2588,1552,1713,2062,4320,3595,2870,6995
90.0000,2630,2610,2612,1567,1732,2082,4358,3625,2895,7042
91.0000,2653,2635,2637,1583,1748,2103,4395,3655,2920,7090
92.0000,2677,2657,2658,1598,1765,2122,4432,3690,2945,7135
93.0000,2700,2680,2683,1613,1780,2142,4468,3720,2970,7182
94.0000,2725,2703,2703,1627,1797,2160,4505,3750,3000,7227
95.0000,2747,2727,2728,1643,1812,2180,4542,3780,3025,7273
96.0000,2770,2750,2750,1658,1830,2198,4577,3810,3050,7317
97.0000,2793,2773,2775,1673,1847,2218,4613,3835,3075,7360
98.0000,2815,2795,2795,1688,1863,2237,4648,3865,3100,7405
99.0000,2838,2818,2820,1703,1878,2255,4685,3895,3125,7447
100.0000,2860,2842,2840,1718,1893,2275,4720,3925,3150,7488
101.0000,2883,2865,2863,1733,1910,2293,4755,3955,3175,7530
102.0000,2905,2887,2887,1748,1925,2312,4790,3985,3200,7570
103.0000,2928,2910,2907,1763,1942,2330,4823,4015,3225,7612
104.0000,2950,2932,2930,1778,1957,2350,4858,4040,3245,7652
105.0000,2972,2953,2952,1793,1972,2367,4893,4070,3270,7690
106.0000,2995,2977,2973,1808,1990,2387,4927,4100,3295,7728
107.0000,3017,2998,2995,1822,2007,2405,4962,4125,3320,7767
108.0000,3038,3020,3017,1837,2022,2423,4993,4155,3345,7805
109.0000,3060,3043,3038,1850,2038,2440,5028,4185,3370,7842
110.0000,3082,3063,3060,1865,2053,2458,5062,4210,3390,7878
111.0000,3103,3085,3082,1880,2068,2477,5093,4240,3415,7913
112.0000,3125,3108,3102,1895,2085,2495,5128,4265,3440,7950
113.0000,3147,3130,3123,1910,2100,2513,5160,4295,3465,7985
114.0000,3167,3150,3143,1923,2115,2530,5192,4320,3485,8018
115.0000,3188,3172,3165,1938,2130,2548,5225,4350,3510,8053
116.0000,3210,3193,3187,1952,2147,2567,5257,4375,3535,8087
117.0000,3232,3213,3208,1965,2160,2583,5290,4400,3555,8120
118.0000,3253,3235,3228,1980,2175,2603,5323,4430,3580,8152
119.0000,3273,3257,3248,1995,2190,2618,5355,4455,3600,8185
120.0000,3293,3277,3270,2008,2205,2637,5385,4480,3625,8215
121.0000,3315,3297,3290,2023,2220,2655,5417,4510,3645,8247
122.0000,3337,3318,3310,2037,2235,2670,5448,4535,3670,8278
123.0000,3357,3338,3330,2050,2250,2690,5478,4560,3690,8307
124.0000,3377,3360,3350,2065,2265,2707,5510,4585,3715,8338
125.0000,3398,3380,3370,2080,2282,2722,5538,4615,3735,8368
126.0000,3418,3402,3390,2092,2297,2740,5572,4640,3760,8397
127.0000,3438,3422,3412,2107,2310,2757,5602,4665,3780,8425
128.0000,3458,3442,3432,2120,2325,2773,5632,4690,3805,8455
129.0000,3478,3462,3450,2135,2340,2793,5662,4715,3825,8480
130.0000,3497,3480,3468,2147,2353,2808,5690,4740,3850,8507
131.0000,3518,3500,3488,2162,2368,2825,5720,4765,3870,8535
132.0000,3538,3520,3508,2177,2385,2842,5750,4790,3890,8560
133.0000,3558,3540,3528,2188,2398,2860,5778,4815,3915,8588
134.0000,3577,3558,3548,2203,2413,2875,5808,4840,3935,8612
135.0000,3598,3578,3568,2217,2428,2892,5838,4865,3955,8640
136.0000,3617,3598,3585,2232,2442,2908,5867,4890,3975,8663
137.0000,3638,3617,3605,2243,2457,2927,5895,4915,4000,8688
138.0000,3655,3637,3623,2257,2470,2942,5923,4940,4020,8712
139.0000,3675,3657,3643,2270,2485,2958,5953,4965,4040,8735
140.0000,3693,3677,3660,2283,2500,2973,5980,4985,4060,8758
141.0000,3713,3695,3680,2297,2513,2993,6007,5010,4080,8782
142.0000,3732,3713,3698,2310,2527,3008,6037,5035,4105,8807
143.0000,3752,3733,3718,2323,2542,3025,6063,5055,4125,8828
144.0000,3768,3753,3737,2338,2557,3040,6092,5080,4145,8848
145.0000,3790,3770,3753,2348,2568,3055,6120,5105,4165,8872
146.0000,3807,3788,3772,2363,2583,3072,6145,5130,4185,8893
147.0000,3827,3808,3792,2377,2598,3087,6173,5150,4205,8915
148.0000,3845,3828,3810,2390,2613,3102,6198,5175,4225,8935
149.0000,3863,3845,3827,2403,2625,3122,6228,5200,4245,8957
150.0000,3883,3863,3847,2417,2640,3135,6253,5220,4265,8975
151.0000,3902,3883,3863,2428,2655,3152,6280,5245,4290,8995
152.0000,3920,3900,3883,2443,2668,3168,6307,5265,4310,9015
153.0000,3937,3918,3900,2455,2682,3183,6332,5290,4325,9037
154.0000,3957,3937,3917,2470,2695,3198,6358,5310,4345,9055
155.0000,3973,3955,3937,2480,2708,3213,6383,5330,4365,9073
156.0000,3992,3973,3952,2495,2722,3230,6408,5355,4385,9092
157.0000,4010,3990,3972,2507,2737,3245,6437,5375,4405,9108
158.0000,4028,4008,3987,2522,2750,3260,6462,5400,4425,9127
159.0000,4045,4025,4005,2532,2763,3275,6487,5420,4445,9145
160.0000,4065,4045,4023,2545,2778,3290,6513,5445,4465,9163
161.0000,4082,4062,4040,2560,2792,3307,6537,5465,4485,9178
162.0000,4098,4080,4058,2572,2803,3320,6562,5485,4505,9197
163.0000,4117,4097,4073,2585,2817,3335,6587,5510,4525,9212
164.0000,4133,4113,4093,2597,2830,3350,6612,5530,4540,9230
165.0000,4152,4132,4108,2610,2845,3365,6637,5550,4560,9245
166.0000,4168,4148,4125,2622,2858,3382,6660,5570,4580,9262
167.0000,4188,4167,4143,2635,2872,3397,6685,5590,4600,9277
168.0000,4203,4183,4158,2648,2885,3412,6710,5615,4620,9293
169.0000,4220,4200,4175,2658,2897,3427,6733,5635,4635,9308
170.0000,4238,4217,4193,2672,2910,3442,6757,5655,4655,9323
171.0000,4253,4235,4210,2685,2925,3455,6782,5675,4675,9338
172.0000,4272,4250,4225,2697,2938,3470,6805,5695,4695,9353
173.0000,4288,4268,4243,2708,2950,3485,6827,5715,4710,9367
174.0000,4305,4285,4260,2723,2963,3498,6852,5735,4730,9380
175.0000,4322,4300,4275,2733,2977,3513,6873,5760,4750,9395
176.0000,4338,4317,4292,2747,2990,3528,6898,5780,4765,9408
177.0000,4355,4335,4307,2758,3002,3543,6918,5800,4785,9422
178.0000,4372,4350,4323,2770,3015,3558,6942,5820,4805,9435
179.0000,4388,4367,4342,2783,3028,3572,6965,5840,4820,9448
180.0000,4405,4382,4357,2795,3042,3585,6988,5855,4840,9462
181.0000,4420,4398,4372,2808,3053,3600,7010,5875,4855,9475
182.0000,4437,4417,4387,2818,3065,3615,7033,5895,4875,9487
183.0000,4453,4432,4403,2832,3080,3628,7053,5915,4890,9498
184.0000,4470,4447,4418,2845,3090,3643,7077,5935,4910,9512
185.0000,4485,4463,4435,2855,3105,3657,7098,5955,4925,9525
186.0000,4500,4482,4450,2870,3117,3672,7120,5975,4945,9535
187.0000,4517,4497,4467,2880,3130,3687,7142,5995,4960,9548
188.0000,4533,4512,4483,2892,3142,3698,7163,6010,4980,9558
189.0000,4548,4527,4498,2903,3155,3713,7183,6030,4995,9570
190.0000,4565,4542,4513,2917,3167,3728,7207,6050,5015,9582
191.0000,4582,4558,4528,2927,3178,3740,7228,6070,5030,9592
192.0000,4597,4575,4543,2940,3193,3753,7248,6090,5050,9603
193.0000,4612,4590,4558,2950,3203,3768,7268,6105,5065,9615
194.0000,4628,4607,4573,2963,3218,3783,7290,6125,5085,9623
195.0000,4643,4622,4590,2975,3228,3795,7312,6145,5100,9635
196.0000,4658,4637,4605,2987,3242,3810,7330,6160,5115,9647
197.0000,4673,4652,4620,2997,3255,3823,7350,6180,5135,9655
198.0000,4690,4665,4635,3012,3265,3835,7372,6200,5150,9665
199.0000,4705,4680,4650,3022,3280,3850,7390,6215,5165,9673
200.0000,4720,4697,4663,3033,3290,3865,7410,6235,5185,9685
201.0000,4737,4710,4677,3043,3302,3877,7430,6250,5200,9693
202.0000,4752,4725,4692,3058,3315,3890,7450,6270,5215,9703
203.0000,4765,4742,4707,3068,3327,3903,7468,6290,5235,9712
204.0000,4780,4755,4722,3080,3337,3917,7488,6305,5250,9722
205.0000,4795,4770,4737,3090,3352,3930,7508,6325,5265,9730
206.0000,4810,4785,4752,3102,3362,3942,7527,6340,5280,9738
207.0000,4825,4800,4767,3113,3373,3957,7547,6360,5300,9748
208.0000,4842,4815,4780,3125,3388,3970,7565,6375,5315,9757
209.0000,4857,4830,4793,3137,3398,3982,7583,6395,5330,9765
210.0000,4868,4845,4808,3148,3412,3995,7603,6410,5345,9772
211.0000,4883,4857,4823,3158,3422,4008,7620,6430,5365,9780
212.0000,4898,4872,4837,3170,3433,4020,7640,6445,5380,9787
213.0000,4913,4887,4850,3180,3445,4033,7658,6460,5395,9793
214.0000,4928,4902,4863,3195,3457,4048,7677,6480,5410,9797
215.0000,4942,4917,4878,3205,3468,4058,7695,6495,5425,9803
216.0000,4957,4932,4893,3215,3480,4073,7712,6510,5440,9810
217.0000,4972,4943,4905,3227,3493,4085,7730,6530,5455,9815
218.0000,4985,4957,4920,3237,3503,4098,7750,6545,5475,9820
219.0000,4998,4972,4933,3247,3517,4112,7767,6560,5490,9825
220.0000,5013,4985,4948,3260,3527,4123,7783,6580,5505,9832
221.0000,5028,5000,4960,3270,3538,4137,7802,6595,5520,9837
222.0000,5042,5012,4975,3282,3550,4148,7817,6610,5535,9842
223.0000,5055,5027,4988,3293,3562,4162,7835,6625,5550,9848
224.0000,5068,5040,5000,3303,3573,4175,7852,6645,5565,9852
225.0000,5082,5055,5015,3313,3585,4185,7868,6660,5580,9858
226.0000,5097,5067,5028,3327,3597,4198,7885,6675,5595,9862
227.0000,5112,5082,5040,3337,3607,4210,7903,6690,5610,9867
228.0000,5123,5095,5055,3347,3617,4223,7918,6705,5625,9872
229.0000,5137,5108,5068,3358,3630,4235,7935,6725,5640,9877
230.0000,5152,5122,5082,3368,3642,4248,7952,6740,5655,9882
231.0000,5165,5135,5093,3378,3652,4260,7970,6755,5670,9887
232.0000,5178,5148,5107,3388,3663,4273,7983,6770,5685,9890
233.0000,5193,5162,5120,3403,3673,4283,8000,6785,5700,9893
234.0000,5205,5175,5132,3413,3685,4297,8017,6800,5715,9900
235.0000,5218,5188,5147,3423,3698,4308,8032,6815,5730,9903
236.0000,5232,5202,5158,3435,3708,4318,8050,6830,5745,9908
237.0000,5245,5215,5172,3445,3718,4332,8063,6845,5760,9912
238.0000,5258,5227,5185,3455,3730,4343,8080,6860,5775,9915
239.0000,5272,5240,5197,3465,3740,4355,8093,6875,5785,9920
240.0000,5287,5253,5210,3477,3750,4368,8110,6890,5800,9925
241.0000,5297,5265,5222,3487,3765,4378,8125,6905,5815,9927
242.0000,5312,5280,5235,3497,3775,4390,8140,6920,5830,9928
243.0000,5323,5290,5247,3507,3785,4403,8155,6935,5845,9932
244.0000,5337,5305,5260,3517,3795,4415,8172,6950,5860,9933
245.0000,5350,5315,5270,3528,3807,4425,8185,6965,5870,9937
246.0000,5362,5330,5285,3540,3817,4438,8200,6980,5885,9938
247.0000,5377,5340,5297,3550,3827,4450,8215,6995,5900,9938
248.0000,5388,5355,5308,3560,3840,4460,8228,7010,5915,9940
249.0000,5402,5365,5322,3570,3850,4470,8242,7025,5930,9940
250.0000,5413,5380,5333,3582,3860,4485,8258,7040,5940,9938
251.0000,5427,5390,5347,3592,3870,4495,8272,7050,5955,NaN
252.0000,5438,5405,5357,3602,3882,4507,8285,7065,5970,NaN
