Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
1,40,31.7,35,41.7,0,23.3,0,0,0,50
2,50,50,50,50,41.7,48.3,50,50,35,121.7
3,76.7,68.3,71.7,61.7,61.7,53.3,65,95,75,235
4,113.3,105,108.3,83.3,80,78.3,130,145,120,348.3
5,150,140,143.3,103.3,103.3,108.3,196.7,195,160,460
6,185,175,180,121.7,123.3,135,260,245,200,570
7,221.7,210,215,143.3,146.7,163.3,323.3,295,240,680
8,256.7,246.7,251.7,161.7,168.3,193.3,386.7,345,280,790
9,291.7,281.7,286.7,183.3,190,220,451.7,390,320,898.3
10,328.3,318.3,323.3,203.3,210,246.7,513.3,440,360,1005
11,363.3,350,356.7,223.3,235,273.3,573.3,485,400,1111.7
12,398.3,385,391.7,243.3,256.7,301.7,635,535,435,1216.7
13,435,421.7,426.7,261.7,276.7,328.3,698.3,580,475,1321.7
14,466.7,455,460,281.7,300,355,756.7,735,515,1425
15,501.7,488.3,495,301.7,320,381.7,818.3,795,555,1526.7
16,536.7,521.7,530,320,341.7,408.3,876.7,845,590,1628.3
17,570,556.7,561.7,338.3,361.7,435,936.7,895,630,1728.3
18,605,588.3,596.7,358.3,383.3,460,995,940,665,1826.7
19,638.3,623.3,628.3,376.7,405,486.7,1053.3,985,705,1926.7
20,671.7,655,661.7,396.7,426.7,513.3,1113.3,1030,740,2025
21,705,690,695,416.7,448.3,540,1170,1075,780,2123.3
22,738.3,721.7,728.3,433.3,468.3,565,1226.7,1120,815,2218.3
23,771.7,753.3,758.3,453.3,488.3,590,1285,1165,850,2313.3
24,801.7,788.3,793.3,471.7,510,615,1340,1210,885,2408.3
25,836.7,818.3,825,490,530,640,1396.7,1250,920,2501.7
26,868.3,850,856.7,508.3,550,665,1451.7,1295,960,2595
27,900,881.7,888.3,526.7,571.7,691.7,1505,1340,995,2686.7
28,931.7,913.3,920,545,591.7,716.7,1560,1380,1030,2778.3
29,963.3,945,951.7,565,610,741.7,1615,1425,1065,2868.3
30,995,976.7,983.3,581.7,630,765,1670,1465,1100,2958.3
31,1026.7,1006.7,1013.3,600,651.7,790,1721.7,1510,1135,3046.7
32,1058.3,1038.3,1046.7,618.3,671.7,815,1776.7,1550,1170,3135
33,1088.3,1068.3,1088.3,636.7,691.7,840,1830,1590,1205,3225
34,1118.3,1100,1118.3,655,710,865,1881.7,1630,1235,3311.7
35,1150,1130,1146.7,671.7,731.7,888.3,1935,1675,1270,3396.7
36,1181.7,1161.7,1178.3,691.7,751.7,911.7,1986.7,1715,1305,3481.7
37,1210,1191.7,1208.3,710,770,936.7,2036.7,1755,1340,3566.7
38,1241.7,1221.7,1238.3,726.7,796.7,961.7,2088.3,1795,1370,3650
39,1270,1251.7,1268.3,745,815,985,2138.3,1835,1405,3735
40,1301.7,1283.3,1296.7,763.3,835,1008.3,2190,1875,1435,3816.7
41,1331.7,1311.7,1326.7,780,853.3,1031.7,2240,1915,1470,3898.3
42,1360,1341.7,1356.7,796.7,875,1055,2290,1955,1505,3980
43,1391.7,1371.7,1386.7,815,895,1078.3,2340,1995,1535,4060
44,1420,1398.3,1415,831.7,913.3,1101.7,2388.3,2035,1570,4138.3
45,1448.3,1428.3,1445,851.7,931.7,1126.7,2438.3,2075,1600,4218.3
46,1476.7,1460,1473.3,868.3,951.7,1148.3,2485,2110,1630,4295
47,1506.7,1486.7,1501.7,885,970,1171.7,2533.3,2150,1665,4373.3
48,1535,1516.7,1530,901.7,988.3,1195,2583.3,2190,1695,4450
49,1563.3,1545,1556.7,920,1008.3,1218.3,2630,2225,1725,4526.7
50,1591.7,1573.3,1586.7,935,1026.7,1241.7,2678.3,2265,1760,4601.7
51,1620,1600,1613.3,953.3,1045,1265,2725,2305,1790,4676.7
52,1650,1628.3,1643.3,971.7,1063.3,1286.7,2771.7,2340,1820,4751.7
